`!eb trigger add [trigger phrase] [bot response] [Message the sender? Yes/No]`␝Yes␝Yes
`!eb trigger delete [trigger phrase]`␝Yes␝Yes
`!eb trigger list`␝No␝No
`!eb leaderboard`␝No␝No
`!eb sprintstats edit [+/-value] [Discord ID]`␝Yes␝No
`!eb sprintstats forceupdate`␝No␝Yes
`!eb sprintstats full`␝No␝No
`!eb sprintstats today`␝No␝No
`!eb help`␝No␝No
`!eb randomizer [media name or link]`␝No␝No
`!eb config [configuration option] [value]`␝Yes␝Yes
`!eb config list`␝No␝Yes
`!eb reboot`␝No␝Yes
`!eb spellingbee`␝No␝No
`!eb nanowrimo enroll [number]`␝No␝No
`!eb nanowrimo withdraw`␝No␝No
`!eb nanowrimo check`␝No␝No
`!eb nanowrimo enable`␝No␝No
`!eb nanowrimo cancel`␝No␝Yes
`!eb nanowrimo set [word count]`␝No␝No
`!eb nanowrimo add [word count]`␝No␝No
`!eb nanowrimo userset [word count] [Discord ID]`␝No␝Yes
`!eb nanowrimo useradd [word count] [Discord ID]`␝No␝Yes
`!eb nanowrimo leaderboard`␝No␝No
`!eb admin forcemorningmessages`␝No␝Yes
`!eb welcome`␝No␝No
